id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,iata_code
26704,VVPK,medium_airport,Pleiku Airport,14.00450038909912,108.01699829101562,2434.0,AS,VN,VN-CH,Pleiku,PXU
26705,VVPQ,medium_airport,Phu Quoc International Airport,10.1698,103.9931,37.0,AS,VN,VN-SW,Phu Quoc Island,PQC
26706,VVPR,small_airport,Phan Rang Airport,11.6335,108.952003,101.0,AS,VN,VN-SCC,Phan Rang,PHA
32580,VVRG,medium_airport,Rach Gia Airport,9.95802997234,105.132379532,7.0,AS,VN,VN-SW,Rach Gia,VKG
26707,VVTH,medium_airport,Dong Tac Airport,13.0496,109.334,20.0,AS,VN,VN-SCC,Tuy Hoa,TBB
26708,VVTS,large_airport,Tan Son Nhat International Airport,10.8188,106.652,33.0,AS,VN,VN-SE,Ho Chi Minh City,SGN
327354,VVTX,small_airport,Tho Xuan Airport,19.901667,105.467778,59.0,AS,VN,VN-NC,Thanh Hóa,THD
332254,VVVD,medium_airport,Van Don International Airport,21.120693,107.41539,24.0,AS,VN,VN-NE,Van Don,VDO
26709,VVVH,medium_airport,Vinh Airport,18.7376003265,105.67099762,23.0,AS,VN,VN-NC,Vinh,VII
32601,VVVT,small_airport,Vung Tau Airport,10.375093,107.096185,13.0,AS,VN,VN-SE,Vung Tau,VTG
26710,VYAN,small_airport,Ann Airport,19.769199,94.0261,74.0,AS,MM,MM-16,Aeng,VBA
26712,VYBG,small_airport,Bagan Airport,21.178800582885746,94.9301986694336,312.0,AS,MM,MM-04,Nyaung U,NYU
26713,VYBM,small_airport,Banmaw Airport,24.27044,97.2476,370.0,AS,MM,MM-11,Banmaw,BMO
32605,VYBP,small_airport,Bokpyinn Airport,11.1494,98.735901,100.0,AS,MM,MM-05,Bokpyinn,VBP
26716,VYDW,medium_airport,Dawei Airport,14.103899955749512,98.20359802246094,84.0,AS,MM,MM-05,Dawei,TVY
26717,VYEL,medium_airport,Nay Pyi Taw International Airport,19.623501,96.200996,302.0,AS,MM,MM-04,Pyinmana,NYT
31516,VYGG,small_airport,Gangaw Airport,22.174699783325195,94.1343994140625,200.0,AS,MM,MM-03,Gangaw,GAW
29930,VYGW,small_airport,Gwa Airport,17.600000381469727,94.5832977294922,10.0,AS,MM,MM-16,Gwa,GWA
26719,VYHL,small_airport,Hommalinn Airport,24.899599075317383,94.91400146484376,534.0,AS,MM,MM-01,Hommalinn,HOX
32450,VYHN,small_airport,Tilin Airport,21.700000762939453,94.0999984741211,1385.0,AS,MM,MM-03,Tilin,TIO
26720,VYKG,medium_airport,Kengtung Airport,21.30159950256348,99.63600158691406,2798.0,AS,MM,MM-17,Kengtung,KET
31749,VYKI,small_airport,Kanti Airport,25.988300323486328,95.67440032958984,6000.0,AS,MM,MM-01,Kanti,KHM
26721,VYKL,small_airport,Kalay Airport,23.188800811767575,94.05110168457033,499.0,AS,MM,MM-01,Kalemyo,KMV
26722,VYKP,medium_airport,Kyaukpyu Airport,19.42639923095703,93.53479766845705,20.0,AS,MM,MM-16,Kyaukpyu,KYP
26723,VYKT,medium_airport,Kawthoung Airport,10.04930019378662,98.53800201416016,180.0,AS,MM,MM-05,Kawthoung,KAW
30051,VYKU,small_airport,Kyauktu Airport,21.399999618530277,94.13330078125,1250.0,AS,MM,MM-03,Kyauktu,KYT
26724,VYLK,medium_airport,Loikaw Airport,19.691499710083008,97.2147979736328,2940.0,AS,MM,MM-12,Loikaw,LIW
26725,VYLS,medium_airport,Lashio Airport,22.9778995513916,97.752197265625,2450.0,AS,MM,MM-17,Lashio,LSH
26727,VYMD,large_airport,Mandalay International Airport,21.70219993591309,95.97789764404295,300.0,AS,MM,MM-04,Mandalay,MDL
26728,VYME,medium_airport,Myeik Airport,12.439800262451172,98.62149810791016,75.0,AS,MM,MM-05,Mkeik,MGZ
26729,VYMK,medium_airport,Myitkyina Airport,25.38360023498535,97.35189819335938,475.0,AS,MM,MM-11,Myitkyina,MYT
26730,VYMM,small_airport,Mawlamyine Airport,16.444700241088867,97.66069793701172,52.0,AS,MM,MM-15,Mawlamyine,MNU
31901,VYMN,small_airport,Manaung Airport,18.845800399780277,93.68890380859376,102.0,AS,MM,MM-16,Manaung,MGU
26731,VYMO,medium_airport,Momeik Airport,23.092500686645508,96.64530181884766,600.0,AS,MM,MM-17,,MOE
26732,VYMS,medium_airport,Mong Hsat Airport,20.51679992675781,99.25679779052734,1875.0,AS,MM,MM-17,Mong Hsat,MOG
31897,VYMT,small_airport,Mong Tong Airport,20.29669952392578,98.8989028930664,1840.0,AS,MM,MM-17,Mong Tong,MGK
30101,VYMW,small_airport,Magway Airport,20.1656,94.941399,279.0,AS,MM,MM-03,Magway,MWQ
32612,VYMY,small_airport,Monywar Airport,22.221638,95.093479,298.0,AS,MM,MM-01,Monywar,NYW
26734,VYNS,medium_airport,Namsang Airport,20.890499114990234,97.73590087890624,3100.0,AS,MM,MM-17,Namsang,NMS
32039,VYNT,small_airport,Namtu Airport,23.083,97.383003,2000.0,AS,MM,MM-17,Namtu,NMT
26735,VYPA,small_airport,Hpa-N Airport,16.893699645996094,97.67459869384766,150.0,AS,MM,MM-13,Hpa-N,PAA
30251,VYPK,small_airport,Pauk Airport,21.449199676513672,94.48690032958984,249.0,AS,MM,MM-03,Pauk,PAU
26736,VYPN,small_airport,Pathein Airport,16.815201,94.7799,20.0,AS,MM,MM-07,Pathein,BSX
32618,VYPP,small_airport,Hpapun Airport,18.0666999817,97.449798584,300.0,AS,MM,MM-13,Pa Pun,PPU
26737,VYPT,medium_airport,Putao Airport,27.32990074157715,97.42630004882812,1500.0,AS,MM,MM-11,Putao,PBU
30234,VYPU,small_airport,Pakhokku Airport,21.4043,95.11125,151.0,AS,MM,MM-03,Pakhokku,PKK
26738,VYPY,small_airport,Pyay Airport,18.824499130249023,95.26599884033205,120.0,AS,MM,MM-02,Pye,PRU
26740,VYSW,medium_airport,Sittwe Airport,20.133165,92.870693,27.0,AS,MM,MM-16,Sittwe,AKY
26741,VYTD,medium_airport,Thandwe Airport,18.4606990814209,94.30010223388672,20.0,AS,MM,MM-16,Thandwe,SNW
26742,VYTL,medium_airport,Tachileik Airport,20.483800888061523,99.9354019165039,1280.0,AS,MM,MM-17,Tachileik,THL
32714,VYYE,small_airport,Ye Airport,15.301361,97.864288,30.0,AS,MM,MM-15,Ye,XYE
26744,VYYY,large_airport,Yangon International Airport,16.907300949099998,96.1332015991,109.0,AS,MM,MM-06,Yangon,RGN
25579,W33,seaplane_base,Friday Harbor Seaplane Base,48.5373001099,-123.010002136,,,US,US-WA,Friday Harbor,FBS
25586,W49,seaplane_base,Rosario Seaplane Base,48.6456985474,-122.867996216,,,US,US-WA,Rosario,RSJ
25589,W55,seaplane_base,Kenmore Air Harbor Seaplane Base,47.6290016174,-122.338996887,14.0,,US,US-WA,Seattle,LKE
25606,WA09,small_airport,Roche Harbor Airport,48.6123008728,-123.138999939,100.0,,US,US-WA,Roche Harbor,RCE
3270,WA44,small_airport,Maranggo Airport,-5.7645702362061,123.91699981689,169.0,AS,ID,ID-SG,Waha-Tomea Island,TQQ
25675,WA83,seaplane_base,Westsound/WSX Seaplane Base,48.617901,-122.956903,0.0,,US,US-WA,West Sound,WSX
26745,WAAA,large_airport,Hasanuddin International Airport,-5.06163,119.554001,47.0,AS,ID,ID-SN,Ujung Pandang,UPG
26746,WABB,medium_airport,Frans Kaisiepo Airport,-1.19002,136.108002,46.0,AS,ID,ID-PA,Biak,BIK
41415,WABD,small_airport,Moanamani Airport,-4.00659,136.037704,5204.0,AS,ID,ID-PT,Moanamani,ONI
31200,WABF,small_airport,Kornasoren Airfield,-0.935842,134.872298,13.0,AS,ID,ID-PA,Kornasoren,FOO
41416,WABG,small_airport,Wagethe Airport,-4.05916,136.281715,5627.0,AS,ID,ID-PT,Wagethe,WET
26747,WABI,medium_airport,Nabire Airport,-3.368586,135.496702,20.0,AS,ID,ID-PT,Nabire,NBX
41417,WABL,small_airport,Illaga Airport,-3.97648,137.6225,7989.0,AS,ID,ID-PT,Illaga,ILA
41418,WABN,small_airport,Kokonao Airport,-4.71075,136.43515,59.0,AS,ID,ID-PT,Kokonao,KOX
26748,WABP,medium_airport,Mozes Kilangin Airport,-4.52978,136.887388,103.0,AS,ID,ID-PT,Timika,TIM
41420,WABT,small_airport,Enarotali Airport,-3.925739,136.378634,5807.0,AS,ID,ID-PT,Enarotali,EWI
316463,WAD,small_airport,Andriamena Airport,-17.631,47.7233,2475.0,AF,MG,MG-M,Andriamena,WAD
26749,WADA,small_airport,Selaparang Airport,-8.56056,116.095097,52.0,AS,ID,ID-NB,Mataram,AMI
26750,WADB,small_airport,Sultan Muhammad Salahuddin Airport,-8.537184,118.685002,3.0,AS,ID,ID-NB,Bima,BMU
26751,WADD,large_airport,Ngurah Rai (Bali) International Airport,-8.74817,115.167,14.0,AS,ID,ID-BA,Denpasar,DPS
299629,WADL,medium_airport,Lombok International Airport,-8.757792,116.275435,319.0,AS,ID,ID-NB,Mataram,LOP
26752,WADS,small_airport,Sumbawa Besar Airport,-8.48904037475586,117.41200256347656,16.0,AS,ID,ID-NB,Sumbawa Island,SWQ
26753,WADT,small_airport,Tambolaka Airport,-9.409224,119.242558,161.0,AS,ID,ID-NT,Radamata,TMC
26754,WADW,small_airport,Umbu Mehang Kunda Airport,-9.66922,120.302002,33.0,AS,ID,ID-NT,Waingapu-Sumba Island,WGP
26772,WAEW,medium_airport,Pitu Airport,2.04599,128.324997,49.0,AS,ID,ID-MU,Gotalalamo-Morotai Island,OTI
352892,WAFB,medium_airport,Toraja Airport,-3.185833,119.91775,2884.0,AS,ID,ID-SS,Toraja,TRT
331735,WAFD,small_airport,Bua - Palopo Lagaligo Airport,-3.082997,120.245018,14.0,AS,ID,ID-SN,Palopo,LLO
26769,WAFF,medium_airport,Mutiara - SIS Al-Jufrie Airport,-0.916462,119.908647,284.0,AS,ID,ID-ST,Palu,PLW
41411,WAFJ,small_airport,Tampa Padang Airport,-2.590267,119.025364,49.0,AS,ID,ID-SN,Mamuju,MJU
26803,WAFM,small_airport,Andi Jemma Airport,-2.55803,120.323997,164.0,AS,ID,ID-SN,Masamba,MXB
26771,WAFP,medium_airport,Kasiguncu Airport,-1.41675,120.657997,174.0,AS,ID,ID-ST,Poso-Celebes Island,PSJ
26774,WAFW,medium_airport,Syukuran Aminuddin Amir Airport,-1.035893,122.773934,56.0,AS,ID,ID-ST,Luwok,LUW
344101,WAGB,small_airport,Haji Muhammad Sidik Airport,-1.02581,114.92881,145.0,AS,ID,ID-KT,Muara Teweh,HMS
343797,WAGF,small_airport,Seruyan Kuala Pembuang Airport,-3.376062,112.536521,13.0,AS,ID,ID-KT,Seruyan,KLP
26780,WAGG,small_airport,Tjilik Riwut Airport,-2.22513,113.943001,82.0,AS,ID,ID-KT,Palangkaraya,PKY
332202,WAHI,medium_airport,Yogyakarta International Airport,-7.905338,110.057264,24.0,AS,ID,ID-YO,Yogyakarta,YIA
26833,WAHL,medium_airport,Tunggul Wulung Airport,-7.64506,109.033997,69.0,AS,ID,ID-JT,Cilacap,CXP
42250,WAHU,small_airport,Dewadaru - Kemujan Island,-5.80091,110.47838,35.0,AS,ID,ID-JT,Karimunjawa,KWB
41423,WAJB,small_airport,Bokondini Airport,-3.68455,138.677437,4550.0,AS,ID,ID-PP,Bokondini,BUI
41425,WAJI,small_airport,Mararena Sarmi Airport,-1.873077,138.753275,10.0,AS,ID,ID-PA,Sarmi,ZRM
26755,WAJJ,large_airport,Dortheys Hiyo Eluay International Airport,-2.579627,140.519857,289.0,AS,ID,ID-PA,Sentani,DJJ
41426,WAJL,small_airport,Lereh Airport,-3.0795,139.952,820.0,AS,ID,ID-PA,Lereh-Papua Island,LHI
41427,WAJM,small_airport,Mulia Airport,-3.701938,137.957,6527.0,AS,ID,ID-PT,Mulia-Papua Island,LII
41428,WAJO,medium_airport,Oksibil Airport,-4.9071,140.6277,4315.0,AS,ID,ID-PP,Oksibil,OKL
41430,WAJS,small_airport,Senggeh Airport,-3.442448,140.778079,914.0,AS,ID,ID-PA,Senggeh,SEH
41432,WAKD,small_airport,Mindiptana Airport,-5.876929,140.70946,121.0,AS,ID,ID-PS,Mindiptana-Papua Island,MDP
41433,WAKE,small_airport,Bade Airport,-7.175902,139.58333,59.0,AS,ID,ID-PS,Bade,BXD
26757,WAKK,medium_airport,Mopah International Airport,-8.523898,140.419693,10.0,AS,ID,ID-PS,Merauke,MKQ
41435,WAKO,small_airport,Okaba Airport,-8.0946,139.7233,23.0,AS,ID,ID-PS,Okaba,OKQ
41436,WAKP,small_airport,Kepi Airport,-6.5418,139.3318,67.0,AS,ID,ID-PS,Kepi,KEI
41437,WAKT,medium_airport,Tanah Merah Airport,-6.09669,140.303521,57.0,AS,ID,ID-PS,Tanah Merah,TMH
32629,WALE,small_airport,Melalan Airport,-0.203611,115.760002,330.0,AS,ID,ID-KI,Melak-Borneo Island,GHS
26758,WALG,small_airport,Tanjung Harapan Airport,2.83583333333,117.373611111,10.0,AS,ID,ID-KU,Tanjung Selor-Borneo Island,TJS
35277,WALJ,small_airport,Datadawai Airport,0.8106,114.5306,508.0,AS,ID,ID-KI,Datadawai-Borneo Island,DTD
26759,WALK,medium_airport,Kalimarau Airport,2.1555,117.431999,59.0,AS,ID,ID-KI,Tanjung Redeb - Borneo Island,BEJ
26760,WALL,large_airport,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,-1.268342,116.89452,12.0,AS,ID,ID-KI,Balikpapan,BPN
26762,WALR,medium_airport,Juwata International Airport / Suharnoko Harbani AFB,3.325145,117.564169,23.0,AS,ID,ID-KU,Tarakan,TRK
26763,WALS,medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,82.0,AS,ID,ID-KI,Samarinda,AAP
26764,WALT,small_airport,Tanjung Santan Airport,-0.0929730013013,117.45300293,121.0,AS,ID,ID-KI,Santan-Borneo Island,TSX
26765,WALV,small_airport,Bunyu Airport,3.45571994781,117.866996765,118.0,AS,ID,ID-KU,Bunju Island,BYQ
31540,WAMA,small_airport,Gamarmalamo Airport,1.838330030441284,127.78600311279295,180.0,AS,ID,ID-MU,Galela-Celebes Island,GLX
331796,WAME,small_airport,Buli Airport,0.9194,128.3825,7.0,AS,ID,ID-MA,Pekaulang,PGQ
26767,WAMG,small_airport,Jalaluddin Airport,0.63711899519,122.849998474,105.0,AS,ID,ID-GO,Gorontalo-Celebes Island,GTO
26768,WAMH,medium_airport,Naha Airport,3.6832098960876474,125.52799987792967,16.0,AS,ID,ID-SA,Tahuna-Sangihe Island,NAH
41440,WAMI,small_airport,Sultan Bantilan Airport,1.123428,120.793658,40.0,AS,ID,ID-ST,Toli Toli-Celebes Island,TLI
31523,WAMJ,small_airport,Gebe Airport,-0.0788889974355697,129.45799255371094,125.0,AS,ID,ID-MU,Gebe Island,GEB
31720,WAMK,small_airport,Kao Airport,1.1852799654006958,127.89600372314452,27.0,AS,ID,ID-MU,Kao-Celebes Island,KAZ
26770,WAMM,medium_airport,Sam Ratulangi Airport,1.54926,124.926003,264.0,AS,ID,ID-SA,Manado,MDC
31924,WAMN,small_airport,Melangguane Airport,4.00694,126.672997,3.0,AS,ID,ID-SA,Karakelong Island,MNA
430172,WAMO,small_airport,Siau/Sitaro Airport,2.648591,125.423301,155.0,AS,ID,ID-SA,Balirangen,BRG
26773,WAMT,medium_airport,Sultan Babullah Airport,0.831012,127.381611,49.0,AS,ID,ID-MU,Sango,TTE
41405,WAMY,small_airport,Buol Airport,1.1027,121.4141,27.0,AS,ID,ID-ST,Buol-Celebes Island,UOL
316465,WAN,small_airport,Waverney Airport,-25.3563,141.9254,570.0,OC,AU,AU-QLD,Waverney,WAN
26775,WAOC,small_airport,Batu Licin Airport,-3.41241,115.995003,3.0,AS,ID,ID-KS,Batu Licin,BTW
26777,WAOI,small_airport,Iskandar Airport,-2.7052,111.672997,75.0,AS,ID,ID-KT,Pangkalanbun,PKN
31730,WAOK,small_airport,Gusti Syamsir Alam Airport,-3.29472,116.165001,4.0,AS,ID,ID-KS,Stagen,KBU
26778,WAON,medium_airport,Warukin Airport,-2.21656,115.435997,197.0,AS,ID,ID-KS,Tanta-Tabalong,TJG
26779,WAOO,small_airport,Syamsudin Noor International Airport,-3.44236,114.763,66.0,AS,ID,ID-KS,Landasan Ulin,BDJ
26781,WAOS,small_airport,Sampit (Hasan) Airport,-2.499198,112.974987,50.0,AS,ID,ID-KT,Sampit,SMQ
30623,WAPA,small_airport,Amahai Airport,-3.347851,128.927093,29.0,AS,ID,ID-MA,Amahai,AHI
41389,WAPC,small_airport,Bandanaira Airport,-4.5214,129.9054,100.0,AS,ID,ID-MA,Bandanaira,NDA
30934,WAPD,small_airport,Rar Gwamar Airport,-5.77222013474,134.212005615,61.0,AS,ID,ID-MA,Dobo-Warmar Island,DOB
41443,WAPE,small_airport,"Mangole Airport, Falabisahaya",-1.782255,125.482246,10.0,AS,ID,ID-MU,Mangole Island,MAL
333039,WAPF,medium_airport,Karel Sadsuitubun Airport,-5.760278,132.759444,78.0,AS,ID,ID-MA,Langgur,LUV
41390,WAPG,small_airport,Namrole Airport,-3.85522,126.700902,31.0,AS,ID,ID-MA,Namrole,NRE
41444,WAPH,small_airport,Oesman Sadik Airport,-0.635259,127.501999,49.0,AS,ID,ID-MU,Labuha-Halmahera Island,LAH
26782,WAPK,small_airport,Nangasuri Airport,-6.06613,134.273971,82.0,AS,ID,ID-MA,Maikoor Island,BJK
41445,WAPN,small_airport,Emalamo Sanana Airport,-2.100485,125.965548,39.0,AS,ID,ID-MU,Sanana,SQN
26784,WAPP,medium_airport,Pattimura International Airport,-3.71026,128.089005,33.0,AS,ID,ID-MA,Ambon,AMQ
41447,WAPR,small_airport,Namlea Airport,-3.237118,127.100294,41.0,AS,ID,ID-MA,Namlea,NAM
32424,WAPT,small_airport,Taliabu Island Airport,-1.6426299810409546,124.55899810791016,9.0,AS,ID,ID-MU,Tikong-Taliabu Island,TAX
42251,WAPV,small_airport,Wahai Airport,-2.8114,129.484,558.0,AS,ID,ID-MA,Wahai,WBA
41486,WAQM,small_airport,Robert Atty Bessing,3.575278,116.619722,26.0,AS,ID,ID-KU,Malinau,LNU
26785,WARA,small_airport,Abdul Rachman Saleh Airport,-7.929099,112.714233,1726.0,AS,ID,ID-JI,Malang,MLG
30846,WARC,small_airport,Ngloram Airport,-7.19484166667,111.548166667,131.0,AS,ID,ID-JT,Tjepu-Java Island,CPF
26787,WARJ,medium_airport,Adisutjipto International Airport,-7.78818,110.431999,379.0,AS,ID,ID-YO,Yogyakarta,JOG
26788,WARQ,small_airport,Adisumarmo International Airport,-7.516044,110.757492,421.0,AS,ID,ID-JT,Surakarta,SOC
26789,WARR,large_airport,Juanda International Airport,-7.37983,112.787003,9.0,AS,ID,ID-JI,Surabaya,SUB
26790,WARS,medium_airport,Achmad Yani Airport,-6.970732,110.373244,10.0,AS,ID,ID-JT,Semarang,SRG
32389,WART,small_airport,Trunojoyo Airport,-7.0242,113.89023,10.0,AS,ID,ID-JI,Sumenep-Madura Island,SUP
41448,WASB,small_airport,Stenkol Airport,-2.1033,133.5164,57.0,AS,ID,ID-PB,Bintuni,NTI
41449,WASC,small_airport,Abresso Airport,-1.496771,134.175,52.0,AS,ID,ID-PB,Ransiki-Papua Island,RSK
41450,WASE,small_airport,Kebar Airport,-0.810418,133.054937,2050.0,AS,ID,ID-PB,Kebar,KEQ
26791,WASF,medium_airport,Fakfak Airport,-2.920508,132.267011,462.0,AS,ID,ID-PB,Fakfak,FKQ
41451,WASI,small_airport,Inanwatan Airport,-2.127447,132.160056,9.0,AS,ID,ID-PB,Inanwatan,INX
26792,WASK,medium_airport,Kaimana Airport,-3.6446,133.695116,19.0,AS,ID,ID-PB,Kaimana,KNG
41452,WASM,small_airport,Merdei Airport,-1.591154,133.295867,425.0,AS,ID,ID-PB,Merdei-Papua Island,RDE
333091,WASN,small_airport,Marinda Airport,-0.423056,130.773333,9.0,AS,ID,ID-PB,Waisai,RJM
26793,WASO,medium_airport,Babo Airport,-2.53224,133.438995,10.0,AS,ID,ID-PB,Babo,BXB
26794,WASR,medium_airport,Rendani Airport,-0.891833,134.048996,23.0,AS,ID,ID-PB,Manokwari,MKW
32488,WAST,small_airport,Teminabuan Airport,-1.44545,132.021139,141.0,AS,ID,ID-PB,Atinjoe,TXM
41453,WASW,small_airport,Wasior Airport,-2.721,134.5061,49.0,AS,ID,ID-PB,Wasior-Papua Island,WSR
42249,WATB,small_airport,Bajawa Soa Airport,-8.707435,121.057427,4326.0,AS,ID,ID-NT,Soa,BJW
26796,WATC,small_airport,Frans Xavier Seda Airport,-8.639514,122.238135,115.0,AS,ID,ID-NT,Waioti,MOF
26797,WATE,small_airport,H. Hasan Aroeboesman (Ende) Airport,-8.849114,121.66101,49.0,AS,ID,ID-NT,Ende,ENE
